"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","s_drs","outs_above_average","fielder_name","m_drs","delta_drs","pos_to_neg","neg_to_pos"
"Arroyo, Edwin",695490,"Reds",2026,"2B",2,3,"Edwin Arroyo",-2.09,-4.09,0,1
"Montgomery, Colson",695657,"White Sox",2026,"SS",7,10,"Colson Montgomery",2.82,-4.18,0,0
"Vaughn, Andrew",683734,"Brewers",2026,"1B",-4,-5,"Andrew Vaughn",-8.3,-4.3,0,0
"Ruiz, Esteury",665923,"Marlins",2026,"RF",-1,-1,"Esteury Ruiz",-5.32,-4.32,0,0
"McMahon, Ryan",641857,"Yankees",2026,"3B",3,4,"Ryan McMahon",-1.37,-4.37,0,1
"Arraez, Luis",650333,"---",2026,"2B",9,12,"Luis Arraez",4.57,-4.43,0,0
"Rivas, Leo",660844,"Mariners",2026,"3B",-1,-1,"Leo Rivas",-5.45,-4.45,0,0
"Castro, Willi",650489,"Rockies",2026,"2B",-5,-6,"Willi Castro",-9.46,-4.46,0,0
"Adell, Jo",666176,"---",2026,"RF",-3,-4,"Jo Adell",-7.82,-4.82,0,0
"Osuna, Alejandro",696030,"Rangers",2026,"LF",-6,-7,"Alejandro Osuna",-10.9,-4.9,0,0
"Lopez, Otto",672640,"Marlins",2026,"SS",9,12,"Otto Lopez",4.03,-4.97,0,0
"Volpe, Anthony",683011,"Yankees",2026,"SS",4,6,"Anthony Volpe",-1.02,-5.02,0,1
"Varsho, Daulton",662139,"---",2026,"CF",5,6,"Daulton Varsho",-0.07,-5.07,0,1
"McNeil, Jeff",643446,"Athletics",2026,"2B",-3,-3,"Jeff McNeil",-8.07,-5.07,0,0
"Bolte, Henry",703607,"Athletics",2026,"CF",3,3,"Henry Bolte",-2.47,-5.47,0,1
"Cronenworth, Jake",630105,"Padres",2026,"2B",-3,-4,"Jake Cronenworth",-8.49,-5.49,0,0
"Pratt, Cooper",806198,"Brewers",2026,"SS",3,4,"Cooper Pratt",-2.56,-5.56,0,1
"Ortiz, Joey",687401,"Brewers",2026,"SS",8,11,"Joey Ortiz",2.31,-5.69,0,0
"Isbel, Kyle",664728,"Royals",2026,"CF",5,6,"Kyle Isbel",-0.72,-5.72,0,1
"Arenado, Nolan",571448,"D-backs",2026,"3B",2,3,"Nolan Arenado",-3.73,-5.73,0,1
"Peters, Tristan",671976,"White Sox",2026,"CF",10,11,"Tristan Peters",4.01,-5.99,0,0
"Schneemann, Daniel",682177,"Guardians",2026,"3B",5,6,"Daniel Schneemann",-1.11,-6.11,0,1
"Vierling, Matt",663837,"Tigers",2026,"CF",2,2,"Matt Vierling",-4.2,-6.2,0,1
"Harris II, Michael",671739,"Braves",2026,"CF",10,11,"Michael Harris",3.61,-6.39,0,0
"Bogaerts, Xander",593428,"Padres",2026,"SS",1,2,"Xander Bogaerts",-5.41,-6.41,0,1
"Scott II, Victor",687363,"Cardinals",2026,"CF",3,3,"Victor Scott",-3.42,-6.42,0,1
"Smith, Josh",669701,"---",2026,"2B",-2,-3,"Josh Smith",-8.53,-6.53,0,0
"Swanson, Dansby",621020,"Cubs",2026,"SS",12,16,"Dansby Swanson",5.47,-6.53,0,0
"Seigler, Anthony",678011,"Red Sox",2026,"2B",-3,-4,"Anthony Seigler",-9.58,-6.58,0,0
"Okamoto, Kazuma",672960,"Blue Jays",2026,"3B",-1,-1,"Kazuma Okamoto",-8.22,-7.22,0,0
"Rocchio, Brayan",677587,"Guardians",2026,"SS",10,13,"Brayan Rocchio",2.66,-7.34,0,0
"Julien, Edouard",666397,"Rockies",2026,"2B",-3,-4,"Edouard Julien",-10.4,-7.4,0,0
"Butler, Lawrence",671732,"Athletics",2026,"RF",-9,-9,"Lawrence Butler",-16.55,-7.55,0,0
"Friedl, TJ",670770,"Reds",2026,"CF",3,4,"TJ Friedl",-4.96,-7.96,0,1
"McCarthy, Jake",664983,"Rockies",2026,"CF",2,2,"Jake McCarthy",-6.16,-8.16,0,1
"Albies, Ozzie",645277,"Braves",2026,"2B",0,0,"Ozzie Albies",-8.35,-8.35,0,0
"Holliday, Jackson",702616,"Orioles",2026,"2B",-3,-4,"Jackson Holliday",-11.63,-8.63,0,0
"Harper, Bryce",547180,"Phillies",2026,"1B",-4,-5,"Bryce Harper",-12.67,-8.67,0,0
"McLain, Matt",680574,"Reds",2026,"2B",3,4,"Matt McLain",-5.77,-8.77,0,1
"Hernaiz, Darell",687231,"Athletics",2026,"SS",-1,-1,"Darell Hernaiz",-9.82,-8.82,0,0
"Duran, Ezequiel",677649,"Rangers",2026,"SS",12,16,"Ezequiel Duran",2.9,-9.1,0,0
"Muncy, Max",691777,"Athletics",2026,"3B",-5,-6,"Max Muncy",-14.19,-9.19,0,0
"Turner, Trea",607208,"Phillies",2026,"SS",-6,-8,"Trea Turner",-15.35,-9.35,0,0
"Marsee, Jakob",805300,"Marlins",2026,"CF",6,6,"Jakob Marsee",-3.39,-9.39,0,1
"Carrigg, Cole",694249,"Rockies",2026,"CF",1,1,"Cole Carrigg",-8.75,-9.75,0,1
"Stott, Bryson",681082,"Phillies",2026,"2B",7,10,"Bryson Stott",-2.92,-9.92,0,1
"Jones, Spencer",682987,"Yankees",2026,"RF",-1,-1,"Spencer Jones",-11.14,-10.14,0,0
"Giménez, Andrés",665926,"Blue Jays",2026,"SS",14,19,"Andres Gimenez",3.59,-10.41,0,0
"Lopez, Nicky",670032,"---",2026,"2B",1,1,"Nicky Lopez",-9.52,-10.52,0,1
"Machado, Manny",592518,"Padres",2026,"3B",5,7,"Manny Machado",-6.37,-11.37,0,1
"Wilson, Jacob",805779,"Athletics",2026,"SS",7,9,"Jacob Wilson",-5.7,-12.7,0,1
"Chisholm Jr., Jazz",665862,"Yankees",2026,"2B",8,11,"Jazz Chisholm",-4.8,-12.8,0,1
"Altuve, Jose",514888,"Astros",2026,"2B",-4,-5,"Jose Altuve",-16.8,-12.8,0,0
"De La Cruz, Elly",682829,"Reds",2026,"SS",5,7,"Elly De La Cruz",-9.04,-14.04,0,1
"Witt Jr., Bobby",677951,"Royals",2026,"SS",18,24,"Bobby Witt",3.08,-14.92,0,0
"Bichette, Bo",666182,"Mets",2026,"3B",-1,-2,"Bo Bichette",-16.76,-15.76,0,0
"Guzman, Denzer",694203,"Angels",2026,"3B",1,1,"Denzer Guzman",-15.41,-16.41,0,1
